Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
1,12,KNOXVILLE V,Frederic SONNTAG,0,64.21,380.00 €
2,15,KENNEDY SAINTE ODILE,Tom DELLENBACH,0,65.18,300.00 €
3,2,HORUS BLANC CRISTAL,Louis SCHWEIGER,0,65.37,240.00 €
4,8,EX ORBIT,Christophe JUNCKER,0,67.02,200.00 €
5,5,MACADELLO D.S.,Elora SCHMITTER,0,71.68, 
6,10,LA LICORNE D'ARGENTEUIL,Chiara CHAGNEAU,0,72.04, 
7,11,IRON MAN FRIVOL,Dan ESCHMANN,0,79.79, 
8,13,GUDIE DU LOTI,Louis SCHWEIGER,4,63.20, 
9,3,HISTAMINE DE VAINS,Perrine MARY,4,65.59, 
10,7,IBEN S,Laura VIUTTI,4,66.43, 
11,14,HELL BOY SAINTE ODILE,Tom DELLENBACH,4,69.36, 
12,6,LIMONCELLO D.S.,Mathieu LAVEAU,4,70.88, 
13,4,DIDJI DE PAUMALICE,Fabien EHRHART,4,75.30, 
14,1,IPOPE DES BROCHES,Frederic SONNTAG,8,66.98, 
15,9,G ENVIE D'AMOUR,Erwan AUFFRET ADC,8,72.10, 
