Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
1,29,ORANGE D'API,Lisa CHARROY,0,29.55,75.00 €
2,13,HARMONIA DU JARDIN,Tiffany BUHL,0,29.82,57.00 €
3,49,JOYAUX DE LA NEE,Elina LEY,0,30.04,45.00 €
4,26,BEG MEIL,Giulia GARCIA CERIONI,0,30.23,36.00 €
5,7,COGNAC D'OZ,Frederic SCHWEIGER,0,30.88,30.00 €
6,19,SENNA VD MOLENDRIESHOEVE,Camille SCHNEIDER,0,31.58,24.00 €
7,9,JYANA,Chiara LEYDET,0,33.73,18.00 €
8,68,FANGIO DE LA ROSE,Fabien SCHAEFFER,0,34.05,15.00 €
9,25,APOLLON DE LA LANDE,Marie ESCHBACH,0,34.37,12.00 €
10,4,USKAYA DE LA FONTAINE,Isaure BRAND,0,34.49,12.00 €
11,59,SUPPORTER DE LYR,Marie GAULIER,0,37.44,12.00 €
12,34,TRAVIS VAN DE NOORDHEUVEL,Coralie SPINOSA,0,38.10,12.00 €
13,5,ICETEA BLUE DU BOIS,Elisa JANKETIC,0,38.63,12.00 €
14,31,FORTUNA DE LA PIENNE,Emma SCHMITT,0,43.72,12.00 €
15,47,GALAXIE DESBOIS,Matthieu HAUSWIRTH,4,28.14,12.00 €
16,28,I AM SPECIALE STAR,Lauriane STEINMETZ,4,32.03,12.00 €
17,54,CHARMEUR PETITEECURIE,Valentine DIEBOLD,4,32.19, 
18,48,VISTA CHIANTI,Carole BRONN,4,32.35, 
19,15,HEIDIDUROSENGARTEN,Lena LANTZ,4,32.48, 
20,43,FISTON DES RONDETS,Mya MOUARAKI,4,33.37, 
21,3,BROWNI DU HOLLER,Lauriane STEINMETZ,4,33.86, 
22,36,IMANA Z,Julien SCHALCK,4,33.95, 
23,33,ULTIMA LUTTERBACH,Stella Marie SCHNEIDER,4,34.07, 
24,61,CALISTA DUB'S,Francois COURTE,4,34.48, 
25,32,FERDINAND,Julie LOTZ,4,35.19, 
26,12,JUST LOVE ME THELEME,Helene RAMET,4,36.51, 
27,45,CASSEDY,Justine FEGER BOYADJIAN,4,38.31, 
28,46,NEMO 332,Magali RODRIGUES,4,39.95, 
29,2,CHACCO,Kim STEPEC,4,40.57, 
30,37,CRACK DU LAC Z,Joel NEUBAUER,4,43.85, 
31,6,JUMANJI DU HERTHI,Lorene BELLERY,4,44.98, 
32,27,QUENTLYSTAR Z,Kim STEPEC,5,39.93, 
33,17,CALGARY DES 4 VENTS Z,Marie BARTH,5,41.72, 
34,67,KAFKA DU NEVEZ,Gautier MORI,5,46.51, 
35,24,JOUJOU DE LA BOTTE,Amel EL OMRI,6,37.05, 
36,14,GATCHO DU STOSS,Johanna KLEIN,6,37.67, 
37,11,VICO VD DOMMELBRON Z,Charlie MONTOULIOU,6,41.28, 
38,62,KRISHNA DES GENEVRIS,Vanessa HERVE,6,50.98, 
39,41,ERROS,Mathilde ROTT,6,51.21, 
40,44,FATINES,Laura JARDON,7,55.63, 
41,1,HEROINE DU POMIEZ,Charlotte REUTENAUER,8,35.75, 
42,51,HELLOSANTOS MAIDIERES,Emma LACOSSE,8,36.95, 
43,22,IGGDRASIL NIGHT,Lucie LAURENT,9,36.83, 
44,23,BANDIT DE BARBEREAU,Victoria LEYDET,12,32.26, 
45,52,MARCELINO DE BOURGOGNE LJ,Sophie MILLION,13,35.07, 
46,65,HOLLY B DE LA LANDE,Marie ICHTERTZ,13,40.39, 
47,8,JUST MOUCHE,Marion RIESS,14,49.13, 
48,69,VENT DU SOIR,Victorine CHEVALIER,14,50.20, 
49,42,BIXENTE DE VESRAM,Marie Luce SMOROWINSKI,14,66.44, 
50,64,ENERGIE LA FONTAINE,Louise KOWES,17,40.35, 
51,30,ZANDOLINE ROSE DP Z,Clara MAILLARD,17,63.24, 
52,21,MEMPHIS,Sebastien SCHAUB,29,53.21, 
,10,DONA BELLA Z,Anais FINCK,EL,, 
,18,FI'OWA DE LA PROZ,Victorianne GINTZ,EL,, 
,38,CHIROCCO,Laura PELEGRIN,EL,, 
,39,JAGUAR,Aurelie HAASS,EL,, 
,60,GUEST STAR DALBI'S,Emma SENE,EL,, 
,20,ARTHUR DU SCHLAVARY,Perrine ROSIN,AB,, 
,35,RAMSES DES LILAS,Noelle MICHAELY,AB,, 
,58,AU BLEUE DU GUE,Celia DE CESARIS,AB,, 
,40,GATSBY DE LIZERNE,Dorian PIQUEREZ,NP,, 
,53,JACQUOU BELMANIERE,Valentine LE GALL,NP,, 
,56,GEANGO B DE LA LANDE,Lea WAGNER,NP,, 
,57,LEXUS VD HOEVEN,Pauline STEIBLE,NP,, 
,63,HOLYWAY DU MATIN,Lilou HELFER,NP,, 
,66,HALLA DE L'UNION,Pascal SCHNEIDER,NP,, 
,16,DIRKA DU THEILLET,Tessa MEIDINGER,NP,, 
,55,HEART DE LA BRASSERIE Z,Anna MAILLARD,NP,, 
,50-HC,QUE BUENO LPH Z,Stephane MOLINARI,4,44.78, 
