Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
1,5,BANDIT DE BARBEREAU,Victoria LEYDET,0,29.58,50.00 €
2,41,EMILIA,Amelia SCHAUB,0,30.42,38.00 €
3,42,HEIDIDUROSENGARTEN,Lena LANTZ,0,30.44,30.00 €
4,33,M CHE PAS,Alycia SCHWEIN,0,30.91,24.00 €
5,51,HOLLY B DE LA LANDE,Marie ICHTERTZ,0,31.75,20.00 €
6,37,HELLOSANTOS MAIDIERES,Emma LACOSSE,0,32.00,16.00 €
7,26,JYANA,Chiara LEYDET,0,32.15,12.00 €
8,10,RAMSES DES LILAS,Noelle MICHAELY,0,32.66,10.00 €
9,27,GUEST STAR DALBI'S,Emma SENE,0,32.86,8.00 €
10,25,GRACIEUSE DE LA NEE,Lena GROSS,0,33.05,8.00 €
11,16,I RON MAN DES BLES,Amelia SCHAUB,0,34.28,8.00 €
12,12,BIXENTE DE VESRAM,Marie Luce SMOROWINSKI,0,35.10, 
13,8,CASSEDY,Justine FEGER BOYADJIAN,0,35.36, 
14,9,CRACK DU LAC Z,Joel NEUBAUER,0,36.52, 
15,11,ETHNIK DI SABLEE,Delphine BARTHEL,0,36.91, 
16,6,SWAN DES IBIS,Maryon BOUKOBZA,0,37.09, 
17,15,DENZEL DE BORNIVAL,Camille COLOMBO,0,37.50, 
18,48,IGGDRASIL NIGHT,Lucie LAURENT,0,38.07, 
19,19,CALGARY DES 4 VENTS Z,Marie BARTH,0,38.51, 
20,23,GIVE ME LA CHESNAIS,Anne CLAUDON,0,42.38, 
21,28,FENTA DU GUE,Franck HEINRICH,0,43.63, 
22,32,CALISTA DUB'S,Francois COURTE,4,31.53, 
23,39,BROWNI DU HOLLER,Lauriane STEINMETZ,4,32.84, 
24,3,ELLY DES DEUX LACS,Melanie BACHOFFER,4,34.65, 
25,18,FATINES,Laura JARDON,4,36.55, 
26,45,HOP DE LIZERNE,Dorian PIQUEREZ,4,37.25, 
27,4,KRISHNA DES GENEVRIS,Vanessa HERVE,4,38.45, 
28,34,HORACE DE MONT AIGU,Camille MISCHLER,4,38.69, 
29,1,GEANGO B DE LA LANDE,Lea WAGNER,4,39.92, 
30,7,JOLIE DE LA NEE,Lise MEYER,4,40.84, 
31,46,CONTYSET,Manuela LOEB,4,42.13, 
32,43,CRACOTTE DE MIGNOT,Lucie JOST,4,43.97, 
33,29,GANDALF D'HULM AA,Lisa LOEB,5,46.08, 
34,44,ELIXIROC DE LA CISSE,Maud ROMERO,6,50.15, 
35,13,ELITE ED LA TAVE,Manon CHEREAU,8,34.56, 
36,17,VICO VD DOMMELBRON Z,Charlie MONTOULIOU,8,39.40, 
37,20,MEMPHIS,Sebastien SCHAUB,8,42.06, 
38,21,KILCOLTRIM ROMANCE,Clemence DARNE,12,40.42, 
39,49,ICETEA BLUE DU BOIS,Elisa JANKETIC,12,41.92, 
40,35,VENT DU SOIR,Victorine CHEVALIER,15,45.83, 
41,50,DARJEELING DAV'NIR,Lou BALICKI,15,51.47, 
42,14,BIZCAYO LUCKY,Lauriane STEINMETZ,20,38.38, 
,40,DARKY,Camille COLOMBO,EL,, 
,47,BAKENAYO,Oceane LUTZ,EL,, 
,22,DAY BY DU HAUT FAYS,Lisa MARCHEVAL,NP,, 
,24,JOUJOU DE LA BOTTE,Amel EL OMRI,NP,, 
,30,HEVEA DU LEE,Amelie KRAHN,NP,, 
,31,VULCAIN BRECOURT,M Christine HUG,NP,, 
,36,EDEN OF THE CHAM,Tania WENDLING,NP,, 
,2,FANGIO DE LA ROSE,Fabien SCHAEFFER,NP,, 
,38,DOETIE LULY,Fabienne BLONDEL,NP,, 
