Classement,Numéro,Cheval,Cavalier,Points,Temps
1,1,JACK BLANC CRISTAL,Louis SCHWEIGER,0,95.29
1,6,JUST GIGOLO DES BLES,Morganne ERTLE,0,83.63
1,8,JOLIE MOME RAMPIGNON,Marie GHAOUTI,0,79.28
1,9,ELEKTRA VON NILS Z,Claire CUNY,0,85.80
5,2,JACK DANIELS DES BLES,Morganne ERTLE,4,82.87
5,4,JACARANDA DE LUME,Geraldine HILLER,4,82.49
7,5,JAGUAR DE FLUSEL,Sylvie KUNTZ,6,102.76
7,10,JOLIE STAR DU BOUSSON,Morganne ERTLE,6,101.27
9,3,GANZADAM,Mathilde HEINTZ,8,80.83
9,7,JAKPOT DU FALKENSTEIN,Louis SCHWEIGER,8,86.17
