Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
1,3,HOLLY B DE LA LANDE,Marie ICHTERTZ,0,60.64,5.40 €
1,5,ELITE ED LA TAVE,Manon CHEREAU,0,67.03,5.40 €
1,8,HELLOSANTOS MAIDIERES,Emma LACOSSE,0,70.82,5.40 €
1,9,HORACE DE MONT AIGU,Camille MISCHLER,0,64.86,5.40 €
1,10,HERCULE DU SCHLAVARY,Marjorie BABINGER,0,61.99,5.40 €
1,12,HIAGO DE WALTEN,James NICOLAS,0,68.63,5.40 €
1,13,HOP DE LIZERNE,Dorian PIQUEREZ,0,63.94,5.40 €
1,14,GIVE ME LA CHESNAIS,Anne CLAUDON,0,67.46,5.40 €
1,15,M CHE PAS,Alycia SCHWEIN,0,60.17,5.40 €
1,16,EL GOLDO DE LEVAUX,Dominique VIGNAUX,0,80.68,5.40 €
1,17,KILCOLTRIM ROMANCE,Clemence DARNE,0,62.28,5.40 €
1,21,CHIARA 1501,Steeve DEBES,0,74.74,5.40 €
1,26,FANGIO DE LA ROSE,Fabien SCHAEFFER,0,66.97,5.40 €
1,29,FOLLOW THE MUSIC,Nicole BUCK,0,70.63,5.40 €
1,33,GANDALF D'HULM AA,Lisa LOEB,0,53.81,5.40 €
1,35,UPTOWN GIRL,Jochen TEUFEL,0,68.94,5.40 €
1,36,CARAMEL DE LA NEE,Karolina KRUPSKYTE,0,66.33,5.40 €
1,39,AU BLEUE DU GUE,Celia DE CESARIS,0,73.63,5.40 €
1,40,JUMANJI DU HERTHI,Lorene BELLERY,0,73.65,5.40 €
1,41,JACOMO,Steeve DEBES,0,73.92,5.40 €
21,4,VOLCAN,Marine GEHIN,4,55.79, 
21,7,BROWNI DU HOLLER,Lauriane STEINMETZ,4,64.61, 
21,11,IDOLE DE LAS PLANES,Zoe SCHNEPF,4,64.16, 
21,20,ARAGORN DES ELYS,Emma ACKER,4,63.07, 
21,23,FENTA DU GUE,Elisabeth GITZ,4,71.56, 
21,24,FUSEE DU CLOCHER,Pauline URLACHER,4,59.69, 
21,25,DOMINO DE LA NEE,Alena HAFNER,4,67.13, 
21,32,BIZCAYO LUCKY,Lauriane STEINMETZ,4,67.34, 
29,42,MONSUNO DU MOULIN,Morgane KAERCHER,6,92.75, 
30,22,LUNDI DE LA NEE,Estelle HOFFARTH,8,80.05, 
30,27,VALEO,Line BRANDT,8,80.86, 
30,28,CONTYSET,Manuela LOEB,8,57.34, 
30,37,GRIZZLY DU GUE,Camille MOLINIE,8,53.83, 
34,30,ALLURE DE ROMAZIERES,Angelina HELD,9,91.81, 
35,1,KARMA DU LAC,Steeve DEBES,12,70.81, 
35,38,KARL I DE LUSSE,Magali RODRIGUES,12,65.84, 
,34,CALCA D'OZ,Laetitia LANDMANN,EL,, 
,2,HEVEA DU LEE,Amelie KRAHN,NP,, 
,6,HEZIO DAL THAHIR,Chiara GARCIA CERIONI,NP,, 
,18,VOYOU DE LA CENSE,Guillaume FRISCH,NP,, 
,19,VULCAIN BRECOURT,M Christine HUG,NP,, 
,31,BLUE CARWYN KERVEYER,Chiara GARCIA CERIONI,NP,, 
