Classement,Numéro,Cheval,Cavalier,Points,Temps,Points,Temps,Gains
1,20,FAHRENHEIT THE ONE,Clea DURAND,0,67.00,0,35.62,375.00 €
2,7,ATLANTIC DE LA ROQUE,Jeremy MORGENSTERN,0,69.61,0,36.85,285.00 €
3,33,VENEZIA DENFER,Perrine DAGORN,0,66.09,0,37.43,225.00 €
4,34,BARON DU ROSENGARTEN,Carole RAUSCHER,0,69.86,0,38.45,180.00 €
5,42,GORKI DU TREFLE,Emma MULLER,0,70.72,4,38.61,150.00 €
6,39,FLIPPER DE L'OCEAN,Marie Sara LAKOMY,0,67.37,12,40.90,120.00 €
7,15,ULTIMATE V'T ROOSAKKER Z,Audrey GY,1,71.50, ,,90.00 €
8,30,VINCE D'AURBEE,Morganne ERTLE,1,72.35, ,,75.00 €
9,8,GRACEANDFIRE DE LURE,Perrine DAGORN,1,73.31, ,,60.00 €
10,35,CONCHITA VON HOF,Victoria KLEIN,1,73.80, ,,60.00 €
11,40,LEONARDO,Lucie ANSEL,1,73.98, ,, 
12,32,CHEF Z,Jeremy MORGENSTERN,1,74.16, ,, 
13,21,SALOMON DE LUSSE,Gautier MORI,1,74.38, ,, 
14,14,SNIPER DE LA HART Z,Capucine GEHIN,1,74.83, ,, 
15,38,BANNER DES TRAMBLES,Chloe DE RISSEAU,4,66.00, ,, 
16,25,HIDALGO DE LA NEE,Michelle FREISINGER,4,66.51, ,, 
17,5,GIN TONIQUE DES BLES,Morganne ERTLE,4,69.76, ,, 
18,16,CHARISMA DU LOTI,Frederic SCHWEIGER,4,70.01, ,, 
19,4,HURANOS DU BOIJOLI,Dylan WYSS,4,70.22, ,, 
20,6,VENEZIA BO REGARD,Manon HEINRICH,4,70.60, ,, 
21,9,ILEGAL DU ROSENGARTEN,Carole RAUSCHER,5,71.15, ,, 
22,31,V'INSOLYTE D'ELO Z,Manon HEINRICH,5,71.23, ,, 
23,2,FASHION DU TERROUIN,Olivia CUART,5,71.85, ,, 
24,18,ENFIN DES BLES,Nicole DEWAR,5,74.92, ,, 
25,13,FORZA FEAUBOURG,Antoine TARTARE,7,81.96, ,, 
26,24,COLCHIQUE DESREMPARTS,Jeanne HOMMEL,8,66.20, ,, 
27,22,HERMES DE L'OBERFELD,Romane TOSCANI,8,85.91, ,, 
28,1,HOLLYWOOD DE LESSAC,Melanie DE MARTIMPREY,9,73.96, ,, 
29,12,FYGARO DU GUE,Paola VALLETTI,9,74.00, ,, 
30,43,CHECK MATE DES FLACHES,Aurelie GAUTHIER MILLET,11,80.79, ,, 
31,23,GRACIOZO DE RIVERLAND,Manon DROY,11,82.41, ,, 
32,28,AL CAPONE FOLTIERE,Estelle MAHR,13,88.35, ,, 
33,11,AIRLINE ROSE DP Z,Elodie MULLER,14,75.56, ,, 
34,37,HABIBI DE L'ALLAINE,Anna MAILLARD,17,72.54, ,, 
35,10,QITURA VON HOF,Victoria KLEIN,17,89.21, ,, 
,17,CROW DES BLES,Marilou ROHRBACHER,EL,,,, 
,19,DIXYTE DES PROYES*MILI,Amelie ESTEFFE MCH,AB,,,, 
,29,CALL ME LIBERTE,Dylan WYSS,AB,,,, 
,36,GUS DE LIZERNE,Dorian PIQUEREZ,AB,,,, 
,3,DREAM DES BOIS,Regis ALBRAND,NP,,,, 
,26,CODY NOUVOLIEU,Jean Marc HUG,NP,,,, 
,41,L'ARKO ERES Z,Yseult BAEUMLIN,NP,,,, 
,27,FUN LADY DE LA LUTH*LITIERE-CHEVAL.COM,Agathe GUILLART,NP,,,, 
