Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
1,10,BERBERE DES ROCHES,Aurelien LANGE,0,31.19,171.00 €
2,2,GOYAVE DU LOTI,Louis SCHWEIGER,0,32.34,135.00 €
3,9,IVRESSE DES TRUFFIERS,Louis SCHWEIGER,0,33.39,108.00 €
4,3,CAP HORN DESLONES,Aurelien LANGE,0,35.84,90.00 €
5,12,IROQUOISE LITZELFELD,Thibaut PIERRAT,0,39.98, 
6,17,HERMINE DES SOURCES,Aurelien LANGE,0,44.12, 
7,6,JAVA DE LA CHARBONIER,Lisa KIRCHER,4,33.08, 
8,7,NOVA D.S.,Perrine MARY,4,39.49, 
9,5,ZAIRE,Laura VIUTTI,4,39.77, 
10,14,L'AIR FORCE D.S.,Christian HUG,4,42.87, 
11,8,TEQUILA VH SCHEEFKASTEEL,Frederic SONNTAG,8,33.43, 
12,4,IKEO DELORME,Christophe JUNCKER,8,39.26, 
13,15,HARDY DE LA GAIETE,Frederic SONNTAG,8,41.26, 
14,1,JACKPOT DE MANCY,Frederic SONNTAG,8,42.76, 
15,11,HUGO DE LA MOTHE,Dan ESCHMANN,12,44.31, 
,13,DIVA DE ROSSEIGNIES,Stephane MOLINARI,NP,, 
,16,IHPANEMA,Louis SCHWEIGER,NP,, 
