Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
29,25,IKANQUICK DE FROMECS,Morganne ERTLE,0,37.06, 
30,45,FUEGO DE NEMA,Helene TARTARE,1,39.11, 
31,46,CATHARINA GPH Z,Catherine BREVUNE,4,29.35, 
32,15,FRENCH KISS DELACENSE,Axelle SCHWENTZEL,4,30.12, 
33,18,FRIVOLE DE LA ZORN,Thibaut LANOIS,4,31.12, 
34,12,GERBOISE SAUVAGE,Aurelie HAASS,4,31.65, 
35,47,USKAYA DE LA FONTAINE,Isaure BRAND,4,31.81, 
36,44,CHOUPIDAM DE MECLEUVE,Ameline SEILER,4,32.30, 
37,36,JIRAYA FONTANEL,Romane GUIHO,4,32.80, 
38,39,QUALISCA DENFER,Helena BEYER,4,32.86, 
39,74,JAMOT DE LEVAUX,Arwen HARDOUIN,4,33.36, 
40,29,JACARANDA DE LUME,Geraldine HILLER,4,33.43, 
41,70,I AM SPECIALE STAR,Lauriane STEINMETZ,4,33.69, 
42,9,EZECHIEL COURCELLE,Morgane ETIENNE,4,34.13, 
43,14,UBANO BLEU,Pauline JOHANNES,4,34.70, 
44,16,HESTIA DE KALO,Mathilde SCHAMPION,4,35.07, 
45,6,BAD BOY DU VOIRLY,Loane SUSS,4,35.25, 
46,72,NORKA DE TROMCOURT Z,Fanny BERTRAND,4,35.35, 
47,63,ILARIO DU DONEL,Maude VILLE,4,35.83, 
48,4,GAYOLE,Jade CAMPAGNE,4,35.89, 
49,33,ARTHUR DU SCHLAVARY,Perrine ROSIN,4,37.59, 
50,30,ZANDOLINE ROSE DP Z,Clara MAILLARD,5,38.28, 
51,22,UNBREAKABLE DENFER,Romain ROTA,5,41.41, 
52,58,GINGER DE MAUCOURT,Elisa NEITER,8,31.01, 
53,17,ENDLESS NIGHT,Gwenaelle LANG,8,31.87, 
54,80,HEART DE LA BRASSERIE Z,Anna MAILLARD,8,32.45, 
55,66,JOYAUX DE LA NEE,Elina LEY,8,33.44, 
56,50,HERMINE DE LA HAYE,Lucile BOEHM,8,33.46, 
57,81,APOLLON DE LA LANDE,Marie ESCHBACH,8,35.43, 
58,60,FARE WELL FARMER,Marina LATORRE,8,36.43, 
59,83,GAVROCHE DES GENEVRIS,Jean Luc ETTER,8,37.26, 
60,56,CIDOC DES BRUYERES Z,Fanny LOUTRE,8,37.28, 
61,64,AUSTRALE DE SEILLE,Maxime ERBRECH,8,52.46, 
62,62,HYDROMEL DE LEVAUX,Lea BARTHEL,9,30.96, 
63,20,DOBEL YOU DU BOIS,Melissa HANSER,9,38.11, 
64,71,FANTASIO DU SAULCY,Mathilde MOUHAT,9,38.81, 
65,77,BRANDA STAR K Z,Louis HESLING,9,41.04, 
66,23,GAZELLE DE LYR,Lucas STRUB LANGE,12,32.05, 
67,68,GALACTIK DE RIVA,Valerie ROUCHEZ,12,35.35, 
68,24,DONA BELLA Z,Anais FINCK,12,52.21, 
69,35,HANNIBAL DU TAL,Caroline SIEFFERT,12,53.50, 
70,5,INAYA DES SOURCES,Manon FERSTLER,16,32.37, 
71,10,ISCHGL DE LOCKSLEY,Christelle FREYD,18,43.78, 
,1,GALAXIE DESBOIS,Matthieu HAUSWIRTH,EL,, 
,40,FLEOLE D'HYRENCOURT,Marie CLAMER,EL,, 
,61,FORTUNA DE LA PIENNE,Emma SCHMITT,EL,, 
,2,CORNY 9,Elisabeth GITZ,AB,, 
,65,GALOPIN DE SAND,Aude MORAIS,AB,, 
,13,DORIS DES MONCEAUX,Sylvie KUNTZ,NP,, 
,28,JAZZ DE PLEVILLE,Jean Marc HUG,NP,, 
,38,MADNESS SAINTE ODILE,Sylvie KUNTZ,NP,, 
,43,HOLLY B DE LA LANDE,Marie ICHTERTZ,NP,, 
,73,JACQUOU BELMANIERE,Valentine LE GALL,NP,, 
,7,KAFKA DU NEVEZ,Gautier MORI,NP,, 
,31,DARJEELING DAV'NIR,Lou BALICKI,NP,, 
,55,ICETEA BLUE DU BOIS,Anna MAILLARD,NP,, 
,69,FIFTY CENT DU MILLE,Morgane LAGRAVERE,NP,, 
