Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
1,37,JAGUAR,Aurelie HAASS,0,27.12,125.00 €
2,59,ADAGE ALIA,Julien BRAYE,0,28.23,95.00 €
3,78,CHANEL DES NEPLIERS,Paul HESLING,0,28.87,75.00 €
4,21,DEESSE DE LA FERME,Victor OURY,0,28.99,60.00 €
5,57,BILBAO DE LA BLEICHE,Elsa GALLO,0,29.19,50.00 €
6,67,ALAGO,Edouard RAPP,0,29.38,40.00 €
7,49,LEXUS VD HOEVEN,Pauline STEIBLE,0,29.98,30.00 €
8,54,BONUS DU PRESSOIR,Manon GRANDDIDIER,0,30.04,25.00 €
9,52,ELVIRA DES BLES,Nicole DEWAR,0,30.91,20.00 €
10,51,ISBA DU FAUBOURG,Clara SCHWAERZLER,0,30.94,20.00 €
11,27,COGNAC D'OZ,Frederic SCHWEIGER,0,31.21,20.00 €
12,3,HARMONIA DU JARDIN,Tiffany BUHL,0,31.27,20.00 €
13,53,COMTESSE DE MAUCOURT,Isabelle MOUHAT,0,31.86,20.00 €
14,11,CRUSOE DE BLANY,Luc WALD,0,32.00,20.00 €
15,42,CYANURE DE MARS,Emilie HERMANN,0,32.22,20.00 €
16,32,FROMECS CLINDARO,Michele BAUMGARTEN,0,32.34,20.00 €
17,26,EUNICE VAN DE MESPEL Z,Tania WINTZINGER,0,32.55,20.00 €
18,85,ORANGE D'API,Lisa CHARROY,0,32.58,20.00 €
19,8,VINCI DE LA BLEICHE,Ines GUERY,0,33.29,20.00 €
20,75,CHIROCCO,Laura PELEGRIN,0,33.94, 
21,84,ILLUSION DE LA NEE,Alexia BUREAU,0,34.00, 
22,19,VISTA CHIANTI,Carole BRONN,0,34.42, 
23,76,BIDJIN CHIANTI,Marie ELLMERICH,0,34.68, 
24,41,ELEKTRA VON NILS Z,Claire CUNY,0,35.36, 
25,48,HIGH LIFE D'AMOUR,Catherine BERTRAND,0,35.53, 
26,34,GOLD BLUE DE LEKERSCH,Emma FOSSATI,0,35.61, 
27,79,GAD,Helene GUENET,0,35.92, 
28,82,DIRKA DU THEILLET,Tessa MEIDINGER,0,36.03, 
