Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
1,32,FAHRENHEIT THE ONE,Clea DURAND,0,59.24,250.00 €
2,40,CHARISMA DU LOTI,Frederic SCHWEIGER,0,59.81,190.00 €
3,48,IMPERIALE DE MANDRES,Fanny BERTRAND,0,61.18,150.00 €
4,26,CHIPIE DU HAUT NOYAL,Julien BRAYE,0,62.35,120.00 €
5,15,DANDY DE BETTEGNEY,Chloe BALTZER,0,62.81,100.00 €
6,7,KNOXVILLE V,Elisa AESCHELMANN,0,64.22,80.00 €
7,54,INDIGO STAR,Mathilde KUTTRUF,0,65.53,60.00 €
8,47,ILEGAL DU ROSENGARTEN,Carole RAUSCHER,0,65.69,50.00 €
9,53,GIN TONIQUE DES BLES,Morganne ERTLE,0,66.45,40.00 €
10,28,VINCE D'AURBEE,Morganne ERTLE,0,66.67,40.00 €
11,57,CHECK MATE DES FLACHES,Aurelie GAUTHIER MILLET,0,67.12,40.00 €
12,43,FIGARO DU JURE,Regis PFISTER,0,67.63,40.00 €
13,20,CONCHITA VON HOF,Victoria KLEIN,0,67.88,40.00 €
14,12,ULTIMATE V'T ROOSAKKER Z,Audrey GY,0,68.82, 
15,6,ANTALYA DU BOURGEONET,Aciana MAYER,0,74.77, 
16,52,GALANTE DE MANCY,Floriane DECHAMBENOIT,0,77.11, 
17,18,FORZA FEAUBOURG,Antoine TARTARE,0,78.70, 
18,49,CALL ME LIBERTE,Dylan WYSS,4,59.26, 
19,23,VISCONTI DU JARDIN,Fanny BERTRAND,4,59.42, 
20,50,CAIROLI DE LUSSE,Marjorie RICHARD,4,61.67, 
21,8,HOLLYWOOD DE LESSAC,Melanie DE MARTIMPREY,4,63.36, 
22,46,HELLO D'AUGE,Marie BLANCK,4,63.58, 
23,25,FAUVE DE LUSSE,Marjorie RICHARD,4,65.61, 
24,24,HURANOS DU BOIJOLI,Dylan WYSS,4,66.15, 
25,11,FLIPPER DE L'OCEAN,Marie Sara LAKOMY,4,67.32, 
26,38,HARD ROCK COSMIC,Rachel MAYER,4,69.26, 
27,30,IDAHO DU CHALET,Alexia HOSPICE,4,69.47, 
28,45,DIVINGMOOD,Sophie REICHHART,4,69.50, 
29,16,ENFIN DES BLES,Nicole DEWAR,4,70.03, 
30,19,EL GOLDO DE LEVAUX,Daphnee BRAYE,4,71.39, 
31,51,N.SELLIE JDV,Julien BRAYE,4,72.10, 
32,21,BY NIGHT DU CLOCHET,Alexandra WEHRUNG,4,73.51, 
33,59,IRON KERVEC,Antoine TRELCAT,4,77.60, 
34,35,HERMES DE L'OBERFELD,Romane TOSCANI,6,89.83, 
35,44,CRACK MAQUIVA,Manon NICOU,8,64.97, 
36,1,FYGARO DU GUE,Paola VALLETTI,8,66.13, 
37,22,BARON DU ROSENGARTEN,Carole RAUSCHER,8,67.03, 
38,55,GUS DE LIZERNE,Dorian PIQUEREZ,8,72.32, 
39,17,HARRY LERCHENBERG,Antoine TRELCAT,8,74.54, 
40,2,GWENDOLYN HX,Cloe BUCHERT,8,80.22, 
41,4,AL CAPONE FOLTIERE,Estelle MAHR,9,87.43, 
42,5,COLCHIQUE DESREMPARTS,Jeanne HOMMEL,10,89.42, 
43,3,HABIBI DE L'ALLAINE,Anna MAILLARD,12,78.50, 
44,37,JAKARTA DES FROTTARDS,Josselin ROZAIRE,13,103.40, 
45,33,ELBOY D'ALBA,Marie ZECH,14,89.15, 
46,27,HESMERALDA,Floriane DECHAMBENOIT,17,116.08, 
,10,GUINOTO DE LUSSE,Laura RENAUX,EL,, 
,29,L'ARKO ERES Z,Yseult BAEUMLIN,EL,, 
,39,EIGENWIJS VAN TL,Laura JARDON,EL,, 
,56,CAMERON A Z,Louis RUIZ,EL,, 
,58,FRODON LERCHENBERG,Katia BORN,AB,, 
,34,EVOILA THOZANO,Mathilde CONTIGNON,AB,, 
,13,GALTA DE LEVAUX,Marjorie BECK,NP,, 
,14,CODY NOUVOLIEU,Jean Marc HUG,NP,, 
,31,GODZILLA SHANDRANI,Guillaume FRISCH,NP,, 
,36,ILLUSION DE LA NEE,Alexia BUREAU,NP,, 
,41,GLORIA DU GUE,Eloise MULLER,NP,, 
,42,GRACIOZO DE RIVERLAND,Manon DROY,NP,, 
,9,GAVROCHE DES GENEVRIS,Jean Luc ETTER,NP,, 
