Classement,Numéro,Cheval,Cavalier,Points,Temps
1,19,VANILLE DE CONDE,Daniel LOOS,0,70.04
1,1,UECKER,Manon NICOU,0,68.63
1,2,LASWENDY DE LA NEE,Estelle HOFFARTH,0,65.09
1,3,JALYNA DES NACRES,Louis SCHWEIGER,0,67.58
1,4,KALI DE TERRES ROUGES,Julien BRAYE,0,64.22
1,6,KIABEAU LUTTERBACH,Denis HESLING,0,71.50
1,8,VIVA TESSA VAN DE BRESSER,Martin LATORRE,0,72.45
1,9,UTOPIA DU CLOCHER,Lucie RAPP,0,71.30
1,10,LISBETH DE LA NEE,Estelle HOFFARTH,0,70.68
1,11,JAPSODIE DE MONTD'AUR,Laure FERSTLER,0,67.42
1,13,PAROLA,Laura NICOU,0,63.52
12,14,J CISPLAT MIRABELLE,Manon NICOU,4,89.25
12,17,LAMBRUSCO DES BLES,Nicole DEWAR,4,63.88
12,18,LYS DE LA NEE,Estelle HOFFARTH,4,70.17
15,5,JISSAN DE LA NEE,Vanessa BRENZKE,8,65.14
15,12,JALITO DU DOGY,Marie ZECCA,8,89.42
15,15,LONNAIS SAHRR,Louis SCHWEIGER,8,71.99
18,7,LOCKSLEY DE KALO,Elisa NEITER,12,82.82
19,16,KISSGIRL DE LA HARDT,Marjorie LACK,13,109.11
