Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
1,36,IMPERIALE DE MANDRES,Fanny BERTRAND,0,27.53,162.50 €
2,35,BILBAO DE LA BLEICHE,Elsa GALLO,0,28.70,123.50 €
3,68,COPEK,Marie Lou ROUIT,0,29.53,97.50 €
4,11,NORKA DE TROMCOURT Z,Fanny BERTRAND,0,30.03,78.00 €
5,21,CATHARINA GPH Z,Catherine BREVUNE,0,30.37,65.00 €
6,2,CRESUS DE CHAMPLOUE,Gauthier VILLEMUR ACKER,0,30.73,52.00 €
7,19,ENDLESS NIGHT,Gwenaelle LANG,0,30.74,39.00 €
8,34,ELVIRA DES BLES,Nicole DEWAR,0,30.86,32.50 €
9,63,HOLYWAY DU MATIN,Lilou HELFER,0,30.95,26.00 €
10,25,IMPERIALE DE WALTEN,James NICOLAS,0,31.17,26.00 €
11,20,COMTESSE DE MAUCOURT,Isabelle MOUHAT,0,31.25,26.00 €
12,77,ORANGE D'API,Lisa CHARROY,0,31.26,26.00 €
13,42,FRIPON DE MANDRES,Victor MAGER,0,32.38,26.00 €
14,18,INDIGO STAR,Mathilde KUTTRUF,0,32.45,26.00 €
15,64,JAKARTA DES FROTTARDS,Josselin ROZAIRE,0,33.97,26.00 €
16,26,BIDJIN CHIANTI,Marie ELLMERICH,0,34.53,26.00 €
17,5,GALIANO SAINTE ODILE,Olivia CUART,0,35.24, 
18,24,HERMINE DE LA HAYE,Lucile BOEHM,0,35.69, 
19,32,GRANIT DE BELLEVUE,Christine BERTHOL,0,37.28, 
20,16,ROYAL JUMP,Audrey BUCK,0,37.66, 
21,38,HANNIBAL DU TAL,Quentin PRIME,0,38.18, 
22,75,FABLE DE LA FONTAINE,Charlotte CHOTIN,0,38.67, 
23,49,IKANQUICK DE FROMECS,Morganne ERTLE,0,39.30, 
24,61,VISCONTI DU JARDIN,Fanny BERTRAND,4,27.41, 
25,56,CHIPIE DU HAUT NOYAL,Julien BRAYE,4,29.20, 
26,13,BARBOUILLE DE LUSSE,Catherine BERTRAND,4,30.13, 
27,71,AZZARO DE SION,Alexia BUREAU,4,30.31, 
28,33,BONUS DU PRESSOIR,Manon GRANDDIDIER,4,30.46, 
29,15,QUENOTTE 2,Matthias BURGER,4,30.97, 
30,59,ELBOY D'ALBA,Marie ZECH,4,31.04, 
31,46,ILLUSION DE LA NEE,Alexia BUREAU,4,32.51, 
32,22,ARBOIS MAYERLING,Adeline GITZ,4,33.20, 
33,58,N.SELLIE JDV,Arwen HARDOUIN,4,33.40, 
34,14,DIALYPSO,Eva BONNET,4,35.30, 
35,7,GAVROCHE DES GENEVRIS,Jean Luc ETTER,4,35.40, 
36,76,HEART DE LA BRASSERIE Z,Anna MAILLARD,4,36.08, 
37,48,HABANNA DU CHALET,Perrine DAGORN,5,42.31, 
38,51,DOLLY SAUTREUIL,Isalyne DOROLLE,8,28.85, 
39,50,DANDY DE BETTEGNEY,Chloe BALTZER,8,29.91, 
40,67,HYDROMEL DE LEVAUX,Lea BARTHEL,8,30.44, 
41,73,UBANO BLEU,Pauline JOHANNES,8,30.62, 
42,40,HELLO D'AUGE,Marie BLANCK,8,31.47, 
43,10,GERBOISE SAUVAGE,Aurelie HAASS,8,32.95, 
44,17,EUNICE VAN DE MESPEL Z,Tania WINTZINGER,8,33.88, 
45,29,GOLD BLUE DE LEKERSCH,Emma FOSSATI,8,34.76, 
46,12,CALYPSO DE LA CHENEE,Virginie THIEBAULT,8,36.25, 
47,70,GALANTE DE MANCY,Floriane DECHAMBENOIT,8,36.46, 
48,57,HELLO BIATS,Ines VEITH,9,36.16, 
49,62,QUALISCA DENFER,Helena BEYER,9,42.53, 
50,45,HESMERALDA,Floriane DECHAMBENOIT,11,34.75, 
51,69,FARCEUSE PETITEECURIE,Valentine DIEBOLD,12,31.55, 
52,74,CIDOC DES BRUYERES Z,Fanny LOUTRE,12,34.35, 
53,3,CRUSOE DE BLANY,Luc WALD,12,36.21, 
54,43,GUINOTO DE LUSSE,Laura RENAUX,14,35.27, 
55,28,AUSTRALE DE SEILLE,Maxime ERBRECH,14,44.34, 
56,27,CYANURE DE MARS,Emilie HERMANN,14,46.44, 
57,55,CHOUPIDAM DE MECLEUVE,Ameline SEILER,16,34.15, 
58,52,GALACTIK DE RIVA,Valerie ROUCHEZ,16,37.81, 
59,6,EVOILA THOZANO,Mathilde CONTIGNON,22,54.02, 
,54,EIGENWIJS VAN TL,Laura JARDON,EL,, 
,65,FANTASIO DU SAULCY,Mathilde MOUHAT,EL,, 
,4,FUEGO DE NEMA,Helene TARTARE,AB,, 
,41,VILY NOUVOLIEU,Edouard RAPP,AB,, 
,8,FIGARO DU JURE,Regis PFISTER,NP,, 
,23,VINCI DE LA BLEICHE,Ines GUERY,NP,, 
,37,CALVERO DE VALLET,Franck HEINRICH,NP,, 
,44,CAMERON A Z,Louis RUIZ,NP,, 
,47,DORIS DES MONCEAUX,Sylvie KUNTZ,NP,, 
,53,GRISOU DE VESQUERIE,Sebastien MAILLARD,NP,, 
,60,TAKE IT EASY,Marie KLEIN,NP,, 
,66,INDIGO HOY,Poppee MATHIEU,NP,, 
,72,MADNESS SAINTE ODILE,Sylvie KUNTZ,NP,, 
,1,FRIVOLE DE LA ZORN,Thibaut LANOIS,NP,, 
,9,GAZELLE DE LYR,Lucas STRUB LANGE,NP,, 
,31,FRENCH KISS DELACENSE,Axelle SCHWENTZEL,NP,, 
,39,DEESSE DE LA FERME,Victor OURY,NP,, 
,30-HC,HOLALA DES MAS,Lisa KIRCHER,0,39.11, 
