Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
1,43,FRIVOLE DE LA ZORN,Thibaut LANOIS,0,64.80,10.18 €
1,44,FRENCH KISS DELACENSE,Axelle SCHWENTZEL,0,66.74,10.18 €
1,46,DEESSE DE LA FERME,Victor OURY,0,63.36,10.18 €
1,1,FOLLOW THE MUSIC,Jochen TEUFEL,0,74.35,10.18 €
1,2,MOURINHO N,Lisa KIRCHER,0,77.04,10.18 €
1,3,TRAVIS VAN DE NOORDHEUVEL,Yoann DORNIER,0,77.01,10.18 €
1,6,IRON KERVEC,Antoine TRELCAT,0,77.57,10.18 €
1,9,ISBA DU FAUBOURG,Clara SCHWAERZLER,0,66.00,10.18 €
1,11,JIRAYA FONTANEL,Fabien EHRHART,0,72.20,10.18 €
1,12,ARBOIS MAYERLING,Adeline GITZ,0,73.30,10.18 €
1,14,JAKARTA DES FROTTARDS,Josselin ROZAIRE,0,74.23,10.18 €
1,15,HOLALA DES MAS,Lisa KIRCHER,0,78.45,10.18 €
1,18,CAP HORN DESLONES,Aurelien LANGE,0,79.14,10.18 €
1,19,IMPERIALE DE WALTEN,James NICOLAS,0,73.28,10.18 €
1,20,HELLOSANTOS MAIDIERES,Romain HAASS,0,78.01,10.18 €
1,21,GALOPIN DE SAND,Aude MORAIS,0,71.00,10.18 €
1,24,FIRST BOY PION PARA,Laetitia GARCIA,0,68.74,10.18 €
1,28,JAVA DE LA CHARBONIER,Lisa KIRCHER,0,75.32,10.18 €
1,29,CABARETIER V,Yoann DORNIER,0,75.56,10.18 €
1,34,FRAIZE DE MANN,Djeylan MARDELL,0,70.83,10.18 €
1,36,DIRKA DU THEILLET,Tessa MEIDINGER,0,71.06,10.18 €
1,41,CASSEDY,Lisa KIRCHER,0,79.83,10.18 €
23,7,GODZILLA SHANDRANI,Guillaume FRISCH,4,81.34, 
23,10,GAYOLE,Jade CAMPAGNE,4,79.42, 
23,17,GALTA DE LEVAUX,Marjorie BECK,4,72.12, 
23,25,HERMINE T,Tobias GOPPERT,4,73.48, 
23,26,DOBEL YOU DU BOIS,Melissa HANSER,4,73.15, 
23,27,I AM SPECIALE STAR,Lauriane STEINMETZ,4,69.18, 
23,32,HARRY LERCHENBERG,Antoine TRELCAT,4,73.29, 
23,35,INAYA DES SOURCES,Manon FERSTLER,4,63.60, 
23,38,IHPANEMA,Louis SCHWEIGER,4,74.59, 
23,39,KALASH DE KREISKER,Fabien EHRHART,4,73.65, 
33,22,TAPISDOU DES FUSAINS,Jochen TEUFEL,6,97.51, 
34,47,FRODON LERCHENBERG,Katia BORN,7,99.19, 
35,30,FREDDY D,Stephane MOLINARI,8,86.88, 
36,37,CORNY 9,Elisabeth GITZ,9,92.78, 
37,45,GAZELLE DE LYR,Lucas STRUB LANGE,13,90.47, 
38,40,ISCHGL DE LOCKSLEY,Christelle FREYD,16,84.57, 
39,8,BERGAME DE PONTHUAL,Lionel CURTY,28,104.12, 
,23,DARJEELING DAV'NIR,Lou BALICKI,EL,, 
,33,VOYOU DE LA CENSE,Guillaume FRISCH,EL,, 
,4,IKIMBA DU BANCO,Stephane MOLINARI,AB,, 
,13,CORDIANA DU CLOCHET,Anne Sophie DEBES,AB,, 
,5,JOYAUX DE LA NEE,Frederic LITT,NP,, 
,16,JAZZ DE PLEVILLE,Jean Marc HUG,NP,, 
,31,GUEST STAR DALBI'S,Frederic LITT,NP,, 
