Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
1,42,DEFI DE BOISY,Mathieu LAVEAU,0,33.68,825.00 €
2,24,KEZAC DE VILLEE,Perrine MARY,0,33.98,627.00 €
3,4,GRIFFON OCHENE,Mathieu LAVEAU,0,35.21,495.00 €
4,33,HOP FOR YOU BRUCE,Sarah LEMINEUR,0,35.51,396.00 €
5,14,BEST DE SARTON,Joanne FELTEN,0,35.91,330.00 €
6,36,HIDALGO DU LAC,Steeve DEBES,0,36.45,264.00 €
7,13,VIC DE LA HARDT,Pascal BOZZOLO,0,36.68,198.00 €
8,6,FAUVE DES ROCHES,Dan ESCHMANN,0,36.98,165.00 €
9,2,D'JACPOT DES CABANES,Erwan AUFFRET ADC,0,37.18,132.00 €
10,5,DINARD BASTERS,Perrine MARY,0,37.78,132.00 €
11,9,CHEF Z,Jeremy MORGENSTERN,0,37.80,132.00 €
12,22,V'INSOLYTE D'ELO Z,Manon HEINRICH,0,37.90, 
13,38,DIABLO DE LYR,Fabien EHRHART,0,37.94, 
14,43,RICARDO VAN DE HELLE,Perrine MARY,0,38.84, 
15,32,EX ORBIT,Christophe JUNCKER,0,38.88, 
16,26,CHACCACO,Thibault PALM,0,38.96, 
17,44,DIDJI DE PAUMALICE,Fabien EHRHART,0,38.98, 
18,29,INDIGENE LITZELFELD,Romain HAASS,0,39.56, 
19,23,LIMONCELLO D.S.,Mathieu LAVEAU,0,41.51, 
20,30,ATLANTIC DE LA ROQUE,Jeremy MORGENSTERN,4,33.46, 
21,28,GUDIE DU LOTI,Louis SCHWEIGER,4,34.77, 
22,25,BARTOCK ANDALOU,Dylan WYSS,4,36.90, 
23,41,HEINOGIRL DE LA FES,Manon HEINRICH,4,37.28, 
24,8,HORACE SAUVAGE,Romain HAASS,4,37.85, 
25,18,GORKI DU TREFLE,Emma MULLER,4,38.11, 
26,40,QUALITY STAR DV,Erwan AUFFRET ADC,4,38.40, 
27,16,KARLA DES WAGNES,Lisa GRANDDIDIER,4,39.12, 
28,27,IRON MAN FRIVOL,Dan ESCHMANN,4,39.65, 
29,37,ENJOY D'OLGY,Josselin ROZAIRE,4,40.41, 
30,11,FUN LADY DE LA LUTH*LITIERE-CHEVAL.COM,Agathe GUILLART,4,40.61, 
31,15,HORS SERIE DU MOULIN,Chiara CHAGNEAU,5,43.13, 
32,35,VATEL DES SONGES,Aurelien LANGE,5,44.41, 
33,19,SNIPER DE LA HART Z,Capucine GEHIN,8,34.98, 
34,12,FERRERO DELORME,Christian HUG,8,36.91, 
35,7,HORUS BLANC CRISTAL,Louis SCHWEIGER,8,38.78, 
36,39,CROW DES BLES,Marilou ROHRBACHER,12,41.17, 
37,1,GO WIN DE L'OPALE,Thibault PALM,12,41.67, 
38,17,ALCARA DU BECHET,Camille GUILLEMOT,12,42.31, 
39,21,G ENVIE D'AMOUR,Erwan AUFFRET ADC,12,58.37, 
,3,AROHANUI DE LUSSE,Manon HEINRICH,EL,, 
,20,QITURA VON HOF,Victoria KLEIN,AB,, 
,34,AS DE LUSSE,Laura VIUTTI,AB,, 
,10,CIABLANCA,Elora SCHMITTER,NP,, 
,31,MACADELLO D.S.,Elora SCHMITTER,NP,, 
