Classement,Numéro,Cheval,Cavalier,Points,Temps,Gains
1,16,BERBERE DES ROCHES,Aurelien LANGE,0,34.86,190.00 €
2,5,JACKPOT DE MANCY,Frederic SONNTAG,0,35.07,150.00 €
3,15,VAILLANT DEVA,Adele DE RISSEAU,0,36.85,120.00 €
4,10,NOVA D.S.,Perrine MARY,0,38.57,100.00 €
5,8,L'AIR FORCE D.S.,Christian HUG,0,41.34, 
6,2,HERMINE DES SOURCES,Aurelien LANGE,0,42.07, 
7,11,GOYAVE DU LOTI,Louis SCHWEIGER,4,34.69, 
8,14,GO WIN DE L'OPALE,Thibault PALM,4,34.70, 
9,13,IPOPE DES BROCHES,Frederic SONNTAG,4,36.28, 
10,12,LANCELOT DE VIRTON,Stephane MOLINARI,6,47.89, 
11,3,IVRESSE DES TRUFFIERS,Louis SCHWEIGER,8,36.89, 
12,7,FEELING FRIVOLE,Romain HAASS,10,40.65, 
13,1,HISTAMINE DE VAINS,Perrine MARY,10,41.36, 
14,4,FLORA DENFER,Stephane MOLINARI,12,59.17, 
,6,FAMOUS 41,Emmanuelle BALD,EL,, 
,9,VATEL DES SONGES,Aurelien LANGE,NP,, 
